gene,top_go
26121@,cellular process
10594@,cellular process
25980@,cellular process
57819@,metabolic process
10772@,cellular process
24148@,cellular process
9733@,biological regulation
135295@,cellular process
6433@,cellular process
8683@,localization
10291@,cellular process
6637@,localization
60677@,cellular process
6431@,localization
6633@,cellular process
8996@,biological regulation
6607@,cellular process
1653@,biological regulation
11168@,cellular process
58155@,cellular process
10658@,cellular process
6936@,cellular process
8175@,cellular process
10659@,cellular process
51340@,cellular process
56853@,cellular process
6635@,localization
23020@,cellular process
57461@,cellular process
6732@,interspecies interaction between organisms
6426@,localization
55692@,biological regulation
55015@,cellular process
27316@,cellular process
6733@,interspecies interaction between organisms
6631@,cellular process
10946@,cellular process
26576@,cellular process
11189@,biological regulation
91746@,localization
6606@,cellular process
9416@,cellular process
23064@,response to stimulus
51747@,cellular process
6430@,localization
60680@,cellular process
10181@,cellular process
10569@,localization
51631@,cellular process
7536@,reproductive process
10713@,cellular process
8487@,cellular process
79833@,cellular process
22889@,cellular process
10907@,cellular process
23451@,cellular process
9169@,cellular process
8233@,cellular process
6632@,cellular process
646625@,metabolic process
55821@,metabolic process
54332@,cellular process
1634@,biological regulation
125170@,biological regulation
51537@,response to stimulus
23259@,behavior
1352@,cellular process
449520@,cellular process
64423@,biological regulation
55737@,biological regulation
3791@,biological regulation
56947@,localization
6773@,biological regulation
65084@,biological regulation
51024@,response to stimulus
80179@,localization
54471@,biological regulation
9650@,metabolic process
26052@,biological regulation
56181@,metabolic process
4599@,interspecies interaction between organisms
4137@,localization
56907@,cellular process
4600@,localization
54708@,biological regulation
80821@,biological regulation
113115@,metabolic process
10059@,biological regulation
5071@,biological regulation
90550@,biological regulation
91137@,cellular process
664@,biological regulation
1759@,cellular process
51571@,cellular process
1723@,metabolic process
57115@,response to stimulus
114771@,metabolic process
254773@,response to stimulus
114770@,metabolic process
8993@,metabolic process
129530@,response to stimulus
2997@,metabolic process
10690@,immune system process
55454@,metabolic process
378884@,metabolic process
2998@,response to stimulus
55829@,biological regulation
2632@,metabolic process
5509@,biological regulation
9653@,metabolic process
10678@,metabolic process
8445@,metabolic process
55790@,multicellular organismal process
5500@,biological regulation
9334@,cellular process
3036@,metabolic process
100288842@,metabolic process
5167@,metabolic process
5499@,metabolic process
5741@,biological regulation
648791@,metabolic process
5261@,biological regulation
2131@,metabolic process
4790@,biological regulation
2645@,metabolic process
9572@,cellular process
84752@,metabolic process
2992@,metabolic process
3667@,biological regulation
192134@,metabolic process
160@,immune system process
208@,biological regulation
7360@,metabolic process
5260@,metabolic process
3340@,biological regulation
84002@,metabolic process
64579@,metabolic process
8908@,metabolic process
5507@,metabolic process
374907@,metabolic process
23178@,biological regulation
8864@,localization
90673@,metabolic process
2932@,biological regulation
3038@,metabolic process
93010@,metabolic process
2132@,metabolic process
3037@,biological regulation
2475@,behavior
51763@,interspecies interaction between organisms
5236@,metabolic process
9348@,metabolic process
283209@,metabolic process
55276@,metabolic process
2931@,metabolic process
3630@,metabolic process
11041@,metabolic process
9852@,metabolic process
89801@,metabolic process
3481@,biological regulation
178@,metabolic process
10580@,metabolic process
55512@,multicellular organismal process
10331@,metabolic process
8660@,biological regulation
79369@,metabolic process
79660@,biological regulation
53632@,metabolic process
8509@,metabolic process
2538@,metabolic process
5836@,metabolic process
27159@,metabolic process
801@,cellular process
1118@,metabolic process
5257@,metabolic process
5256@,metabolic process
5255@,metabolic process
8987@,metabolic process
5837@,metabolic process
5834@,metabolic process
313@,metabolic process
26586@,cellular process
341019@,biological regulation
